split,image_path,label_path,class_id,class_name,x_center,y_center,bbox_width_norm,bbox_height_norm,bbox_area_norm,bbox_width_px,bbox_height_px,image_width,image_height
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075134_jpg.rf.3d7d38291cec7eb977b25eda74db0eae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075134_jpg.rf.3d7d38291cec7eb977b25eda74db0eae.txt,3,Truk,0.6835227272727272,0.06306818181818181,0.01875,0.04602272727272727,0.0008629261363636363,16.5,40.5,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,2,Motor,0.35454545454545455,0.8806818181818182,0.22045454545454546,0.23352272727272727,0.05148114669421488,194.0,205.5,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.5539772727272727,0.5284090909090909,0.05909090909090909,0.1875,0.011079545454545455,52.0,165.0,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.22443181818181818,0.40852272727272726,0.05454545454545454,0.16647727272727272,0.009080578512396693,48.0,146.5,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.4693181818181818,0.6630681818181818,0.075,0.2318181818181818,0.017386363636363634,66.0,204.0,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.93125,0.6744318181818182,0.1375,0.21818181818181817,0.030000000000000002,121.00000000000001,192.0,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.5982954545454545,0.7556818181818182,0.075,0.2528409090909091,0.01896306818181818,66.0,222.50000000000003,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.6477272727272727,0.4943181818181818,0.05625,0.18636363636363637,0.010482954545454545,49.5,164.0,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,2,Motor,0.37329545454545454,0.26931818181818185,0.14602272727272728,0.3306818181818182,0.04828706095041323,128.5,291.0,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\labels\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.txt,3,Truk,0.26590909090909093,0.6102272727272727,0.06477272727272727,0.21818181818181817,0.014132231404958678,57.0,192.0,880,880
