split,image_path,status,width,height
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_074418_jpg.rf.7b0c504ffa08fbca233eb14afe66c6f4.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_074957_jpg.rf.86469c54e98cfaadedea03404f28e9e8.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075134_jpg.rf.3d7d38291cec7eb977b25eda74db0eae.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075309_jpg.rf.b4dd8a891fd36abde8d22612fee8b7ae.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075442_jpg.rf.9d7a5fe2f9f3f8cdb988f631d3ee277b.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_075743_jpg.rf.4776d92acfd78d709f803a82df7a7ea8.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_080104_jpg.rf.23f69b8f94a8367a9be948e420132f94.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_080236_jpg.rf.e656e5f9417a35b0a32b9e37e578f988.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_080721_jpg.rf.285c431fd00a9d7e2cd095fa622e6431.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_080859_jpg.rf.8d9c8a7bea3e0ccaf5cca79967e6c19d.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_082009_jpg.rf.76e6c40863cd1d706cabe8ce423932cb.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_082151_jpg.rf.d70188b12e2c3e6d1ff7a48864aec735.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_082331_jpg.rf.e22326dc7b579ccfdfe7dedfe0c13d95.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_082503_jpg.rf.a7f9bdb3322a48bf6a45cc0d26a4740e.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_082809_jpg.rf.c6af92b848668e8912d46ec313959e2c.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_083246_jpg.rf.54647b7b3cbf2e77126c17104ae23b73.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBarat_20260315_083417_jpg.rf.bba2640a524edc3205a10a072e98b746.jpg,ok,880,880
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154625_jpg.rf.qDO8iNQhtyVmEeOsGbG3.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154705_jpg.rf.0CdwSAtz1TxkM1WehOQf.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154746_jpg.rf.J3LW663c5ob3a0P1UbAx.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154808_jpg.rf.l4VtyKN00IeyI4pQRMEh.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154847_jpg.rf.4GrdJenCabVpRVHpVWHs.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154928_jpg.rf.VgfYVSU14mmVNMyZBVCK.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_154949_jpg.rf.7jJXN87DvyRqIA9tLudj.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155009_jpg.rf.mH046T4oeAk47JwQ9ArE.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155048_jpg.rf.Cb320ZvlcgdVFPeTf3yY.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155128_jpg.rf.EW9t8z3tF75n25f54SGT.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155208_jpg.rf.xuOMFHfj4ltlJd375Vlj.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155247_jpg.rf.WSyGHPEREpIbY6OaCclf.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155415_jpg.rf.lAdgsUCFJdyuLr1zZ9vj.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155455_jpg.rf.30sAECJKPIgOQ8Gj6Qj3.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155535_jpg.rf.DqCjEnCOPzJ7IDRDNa9e.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155614_jpg.rf.nN5OaLEu09fuf4bAw8Dp.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155654_jpg.rf.MunCKcLzd75zNB6CQv25.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155816_jpg.rf.DLV4cd221pvr6l0bc7g7.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155856_jpg.rf.asoUZhG5Zk7emLRQcBDU.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_155935_jpg.rf.fFhpMs9nePhrr1lHY6iY.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_160014_jpg.rf.mWuIuiBC0Vxmx3wRGUDQ.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_160054_jpg.rf.1Erbv83QLy1G5qgRQAyT.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_160133_jpg.rf.eUIwN4Z8qXv9R4k2t5c1.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_160212_jpg.rf.p5Dq9QYla7QvlNkem4Jg.jpg,ok,640,480
train_bubat_barat,C:\Users\hanif\Downloads\capstone-agung\capstone-agung\data bubat barat\train\images\BubatBrt_20260512_160252_jpg.rf.jCzLXH4i2MSouT9HX9vf.jpg,ok,640,480
